country;lat;lon;date;#affected+infected+value+num;#country+code;#region+main+code;#region+sub+code;#region+intermediate+code;
Afghanistan;33.0;65.0;30/05/2020;1303;AFG;142;34;;
Afghanistan;33.0;65.0;29/05/2020;1259;AFG;142;34;;
Afghanistan;33.0;65.0;28/05/2020;1209;AFG;142;34;;
Afghanistan;33.0;65.0;27/05/2020;1138;AFG;142;34;;
Afghanistan;33.0;65.0;26/05/2020;1128;AFG;142;34;;
Afghanistan;33.0;65.0;25/05/2020;1097;AFG;142;34;;
Afghanistan;33.0;65.0;24/05/2020;1075;AFG;142;34;;
Afghanistan;33.0;65.0;23/05/2020;1040;AFG;142;34;;
Afghanistan;33.0;65.0;22/05/2020;996;AFG;142;34;;
Afghanistan;33.0;65.0;21/05/2020;938;AFG;142;34;;
Afghanistan;33.0;65.0;20/05/2020;930;AFG;142;34;;
Afghanistan;33.0;65.0;19/05/2020;850;AFG;142;34;;
Afghanistan;33.0;65.0;18/05/2020;801;AFG;142;34;;
Afghanistan;33.0;65.0;17/05/2020;778;AFG;142;34;;
Afghanistan;33.0;65.0;16/05/2020;745;AFG;142;34;;
Afghanistan;33.0;65.0;15/05/2020;745;AFG;142;34;;
Afghanistan;33.0;65.0;14/05/2020;691;AFG;142;34;;
Afghanistan;33.0;65.0;13/05/2020;648;AFG;142;34;;
Afghanistan;33.0;65.0;12/05/2020;610;AFG;142;34;;
Afghanistan;33.0;65.0;11/05/2020;558;AFG;142;34;;
Afghanistan;33.0;65.0;10/05/2020;558;AFG;142;34;;
Afghanistan;33.0;65.0;09/05/2020;502;AFG;142;34;;
Afghanistan;33.0;65.0;08/05/2020;472;AFG;142;34;;
Afghanistan;33.0;65.0;07/05/2020;468;AFG;142;34;;
Afghanistan;33.0;65.0;06/05/2020;458;AFG;142;34;;
Afghanistan;33.0;65.0;05/05/2020;421;AFG;142;34;;
Afghanistan;33.0;65.0;04/05/2020;397;AFG;142;34;;
Afghanistan;33.0;65.0;03/05/2020;345;AFG;142;34;;
Afghanistan;33.0;65.0;02/05/2020;331;AFG;142;34;;
Afghanistan;33.0;65.0;01/05/2020;310;AFG;142;34;;
Afghanistan;33.0;65.0;30/04/2020;260;AFG;142;34;;
Afghanistan;33.0;65.0;29/04/2020;252;AFG;142;34;;
Afghanistan;33.0;65.0;28/04/2020;228;AFG;142;34;;
Afghanistan;33.0;65.0;27/04/2020;220;AFG;142;34;;
Afghanistan;33.0;65.0;26/04/2020;207;AFG;142;34;;
Afghanistan;33.0;65.0;25/04/2020;188;AFG;142;34;;
Afghanistan;33.0;65.0;24/04/2020;188;AFG;142;34;;
Afghanistan;33.0;65.0;23/04/2020;179;AFG;142;34;;
Afghanistan;33.0;65.0;22/04/2020;166;AFG;142;34;;
Afghanistan;33.0;65.0;21/04/2020;150;AFG;142;34;;
Afghanistan;33.0;65.0;20/04/2020;135;AFG;142;34;;
Afghanistan;33.0;65.0;19/04/2020;131;AFG;142;34;;
Afghanistan;33.0;65.0;18/04/2020;112;AFG;142;34;;
Afghanistan;33.0;65.0;17/04/2020;99;AFG;142;34;;
Afghanistan;33.0;65.0;16/04/2020;54;AFG;142;34;;
Afghanistan;33.0;65.0;15/04/2020;43;AFG;142;34;;
Afghanistan;33.0;65.0;14/04/2020;40;AFG;142;34;;
Afghanistan;33.0;65.0;13/04/2020;32;AFG;142;34;;
Afghanistan;33.0;65.0;12/04/2020;32;AFG;142;34;;
Afghanistan;33.0;65.0;11/04/2020;32;AFG;142;34;;
Afghanistan;33.0;65.0;10/04/2020;32;AFG;142;34;;
Afghanistan;33.0;65.0;09/04/2020;32;AFG;142;34;;
Afghanistan;33.0;65.0;08/04/2020;29;AFG;142;34;;
Afghanistan;33.0;65.0;07/04/2020;18;AFG;142;34;;
Afghanistan;33.0;65.0;06/04/2020;18;AFG;142;34;;
Afghanistan;33.0;65.0;05/04/2020;15;AFG;142;34;;
Afghanistan;33.0;65.0;04/04/2020;10;AFG;142;34;;
Afghanistan;33.0;65.0;03/04/2020;10;AFG;142;34;;
Afghanistan;33.0;65.0;02/04/2020;10;AFG;142;34;;
Afghanistan;33.0;65.0;01/04/2020;5;AFG;142;34;;
Afghanistan;33.0;65.0;31/03/2020;5;AFG;142;34;;
Afghanistan;33.0;65.0;30/03/2020;2;AFG;142;34;;
Afghanistan;33.0;65.0;29/03/2020;2;AFG;142;34;;
Afghanistan;33.0;65.0;28/03/2020;2;AFG;142;34;;
Afghanistan;33.0;65.0;27/03/2020;2;AFG;142;34;;
Afghanistan;33.0;65.0;26/03/2020;2;AFG;142;34;;
Afghanistan;33.0;65.0;25/03/2020;2;AFG;142;34;;
Afghanistan;33.0;65.0;24/03/2020;1;AFG;142;34;;
Afghanistan;33.0;65.0;23/03/2020;1;AFG;142;34;;
Afghanistan;33.0;65.0;22/03/2020;1;AFG;142;34;;
Afghanistan;33.0;65.0;21/03/2020;1;AFG;142;34;;
Afghanistan;33.0;65.0;20/03/2020;1;AFG;142;34;;
Afghanistan;33.0;65.0;19/03/2020;1;AFG;142;34;;
Afghanistan;33.0;65.0;18/03/2020;1;AFG;142;34;;
Afghanistan;33.0;65.0;17/03/2020;1;AFG;142;34;;
Afghanistan;33.0;65.0;16/03/2020;1;AFG;142;34;;
Afghanistan;33.0;65.0;15/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;14/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;13/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;12/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;11/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;10/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;09/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;08/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;07/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;06/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;05/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;04/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;03/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;02/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;01/03/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;29/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;28/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;27/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;26/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;25/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;24/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;23/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;22/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;21/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;20/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;19/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;18/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;17/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;16/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;15/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;14/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;13/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;12/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;11/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;10/02/2020;0;AFG;142;34;;
